Date,Sport,Google_Trends_Popularity,YouTube_Views_Score,Major_Event
1/1/2004,Football,31,0,0
2/1/2004,Football,30,0,0
3/1/2004,Football,31,0,0
4/1/2004,Football,32,0,0
5/1/2004,Football,34,0,0
6/1/2004,Football,47,0,1
7/1/2004,Football,32,0,0
8/1/2004,Football,38,0,0
9/1/2004,Football,39,0,0
10/1/2004,Football,36,0,0
11/1/2004,Football,35,0,0
12/1/2004,Football,29,0,0
1/1/2005,Football,30,0,0
2/1/2005,Football,32,0,0
3/1/2005,Football,31,0,0
4/1/2005,Football,34,0,0
5/1/2005,Football,35,0,0
6/1/2005,Football,35,0,0
7/1/2005,Football,29,0,0
8/1/2005,Football,39,0,0
9/1/2005,Football,41,0,0
10/1/2005,Football,41,0,0
11/1/2005,Football,37,0,0
12/1/2005,Football,34,0,0
1/1/2006,Football,33,0,0
2/1/2006,Football,33,0,0
3/1/2006,Football,33,0,0
4/1/2006,Football,37,0,0
5/1/2006,Football,48,0,0
6/1/2006,Football,89,0,1
7/1/2006,Football,46,0,0
8/1/2006,Football,39,0,0
9/1/2006,Football,42,0,0
10/1/2006,Football,39,0,0
11/1/2006,Football,36,0,0
12/1/2006,Football,30,0,0
1/1/2007,Football,32,0,0
2/1/2007,Football,32,0,0
3/1/2007,Football,31,0,0
4/1/2007,Football,33,0,0
5/1/2007,Football,34,0,0
6/1/2007,Football,34,0,0
7/1/2007,Football,33,0,0
8/1/2007,Football,42,0,0
9/1/2007,Football,44,0,0
10/1/2007,Football,39,0,0
11/1/2007,Football,38,0,0
12/1/2007,Football,32,0,0
1/1/2008,Football,33,84,0
2/1/2008,Football,33,83,0
3/1/2008,Football,34,77,0
4/1/2008,Football,34,81,0
5/1/2008,Football,37,89,0
6/1/2008,Football,47,100,1
7/1/2008,Football,30,79,0
8/1/2008,Football,41,72,0
9/1/2008,Football,41,71,0
10/1/2008,Football,39,73,0
11/1/2008,Football,37,72,0
12/1/2008,Football,33,67,0
1/1/2009,Football,33,60,0
2/1/2009,Football,34,61,0
3/1/2009,Football,34,61,0
4/1/2009,Football,36,59,0
5/1/2009,Football,39,63,0
6/1/2009,Football,35,60,0
7/1/2009,Football,32,53,0
8/1/2009,Football,46,59,0
9/1/2009,Football,46,63,0
10/1/2009,Football,45,59,0
11/1/2009,Football,44,70,0
12/1/2009,Football,37,55,0
1/1/2010,Football,38,49,0
2/1/2010,Football,39,49,0
3/1/2010,Football,40,49,0
4/1/2010,Football,41,53,0
5/1/2010,Football,45,60,0
6/1/2010,Football,78,93,1
7/1/2010,Football,52,69,0
8/1/2010,Football,46,49,0
9/1/2010,Football,45,55,0
10/1/2010,Football,43,53,0
11/1/2010,Football,44,50,0
12/1/2010,Football,36,46,0
1/1/2011,Football,40,47,0
2/1/2011,Football,39,42,0
3/1/2011,Football,36,45,0
4/1/2011,Football,40,46,0
5/1/2011,Football,41,45,0
6/1/2011,Football,35,46,0
7/1/2011,Football,39,47,0
8/1/2011,Football,42,45,0
9/1/2011,Football,48,41,0
10/1/2011,Football,44,46,0
11/1/2011,Football,42,42,0
12/1/2011,Football,36,40,0
1/1/2012,Football,39,35,0
2/1/2012,Football,37,37,0
3/1/2012,Football,38,36,0
4/1/2012,Football,41,38,0
5/1/2012,Football,41,40,0
6/1/2012,Football,55,49,1
7/1/2012,Football,37,41,0
8/1/2012,Football,48,39,0
9/1/2012,Football,47,37,0
10/1/2012,Football,46,36,0
11/1/2012,Football,46,38,0
12/1/2012,Football,41,34,0
1/1/2013,Football,40,32,0
2/1/2013,Football,41,32,0
3/1/2013,Football,40,34,0
4/1/2013,Football,39,34,0
5/1/2013,Football,40,37,0
6/1/2013,Football,40,38,0
7/1/2013,Football,35,36,0
8/1/2013,Football,46,35,0
9/1/2013,Football,52,37,0
10/1/2013,Football,45,36,0
11/1/2013,Football,46,37,0
12/1/2013,Football,45,34,0
1/1/2014,Football,43,33,0
